"ageatexposure","mean","sd","q0.025","q0.5","q0.975"
0,24.879,8.67,8.082,24.88,41.985
5,18.909,6.348,6.369,18.901,31.184
10,14.437,4.874,4.93,14.431,24.03
15,11.073,3.919,3.803,10.895,19.29
20,8.531,3.269,2.905,8.224,15.777
25,6.603,2.795,2.198,6.236,13.102
30,5.133,2.424,1.62,4.732,10.937
35,4.009,2.118,1.149,3.592,9.263
40,3.145,1.858,0.809,2.725,7.963
45,2.478,1.634,0.555,2.075,6.854
50,1.961,1.438,0.384,1.583,5.834
55,1.559,1.267,0.264,1.208,4.981
60,1.245,1.117,0.179,0.92,4.282
65,0.998,0.987,0.122,0.703,3.707
70,0.804,0.874,0.084,0.535,3.207
