"sex","ageatexposure","mean","sd","q0.025","q0.5","q0.975"
"Male",0,22.86,9.479,6.235,22.088,43.465
"Female",0,27.517,9.65,8.969,27.351,46.901
"Male",5,17.386,7.035,4.988,16.88,32.734
"Female",5,20.919,7.065,7.012,20.851,35.082
"Male",10,13.283,5.413,3.995,12.846,25.234
"Female",10,15.976,5.417,5.531,15.789,27.076
"Male",15,10.194,4.312,3.114,9.753,20.062
"Female",15,12.256,4.347,4.301,11.981,21.411
"Male",20,7.859,3.537,2.333,7.373,16.243
"Female",20,9.445,3.619,3.273,9.1,17.485
"Male",25,6.087,2.967,1.764,5.605,13.424
"Female",25,7.311,3.09,2.463,6.927,14.501
"Male",30,4.736,2.528,1.314,4.252,11.129
"Female",30,5.686,2.679,1.81,5.264,12.126
"Male",35,3.701,2.176,0.932,3.24,9.319
"Female",35,4.441,2.342,1.301,4.014,10.25
"Male",40,2.906,1.887,0.664,2.46,7.905
"Female",40,3.485,2.057,0.923,3.054,8.742
"Male",45,2.292,1.644,0.466,1.867,6.635
"Female",45,2.747,1.812,0.643,2.321,7.448
"Male",50,1.816,1.437,0.324,1.421,5.627
"Female",50,2.175,1.599,0.446,1.769,6.358
"Male",55,1.445,1.261,0.224,1.083,4.768
"Female",55,1.73,1.413,0.308,1.353,5.438
"Male",60,1.155,1.11,0.154,0.829,4.101
"Female",60,1.383,1.251,0.209,1.032,4.667
"Male",65,0.928,0.98,0.105,0.632,3.537
"Female",65,1.11,1.11,0.142,0.787,4.027
"Male",70,0.748,0.868,0.072,0.483,3.038
"Female",70,0.895,0.988,0.097,0.601,3.489
